'14:36:33', '2000', '26.780', 'DOWN'
'14:36:27', '1100', '26.790', 'UP'
'14:36:21', '7100', '26.780', 'DOWN'
'14:36:18', '100', '26.780', 'DOWN'
'14:36:15', '1600', '26.790', 'UP'
'14:36:12', '700', '26.780', 'DOWN'
'14:36:09', '1800', '26.780', 'DOWN'
'14:36:06', '1700', '26.790', 'UP'
'14:36:03', '500', '26.790', 'UP'
'14:36:00', '9300', '26.790', 'UP'
'14:35:57', '6800', '26.790', 'UP'
'14:35:54', '100', '26.780', 'DOWN'
'14:35:51', '9500', '26.780', 'DOWN'
'14:35:48', '12000', '26.790', 'UP'
'14:35:45', '9400', '26.780', 'DOWN'
'14:35:42', '9900', '26.790', 'UP'
'14:35:36', '18500', '26.800', 'UP'
'14:35:33', '10900', '26.800', 'UP'
'14:35:30', '1000', '26.790', 'DOWN'
'14:35:27', '1700', '26.790', 'DOWN'
'14:35:24', '12600', '26.800', 'UP'
'14:35:21', '8100', '26.800', 'UP'
'14:35:18', '8900', '26.790', 'DOWN'
'14:35:15', '1000', '26.800', 'UP'
'14:35:12', '20617', '26.790', 'DOWN'
'14:35:09', '1900', '26.800', 'DOWN'
'14:35:03', '24000', '26.800', 'DOWN'
'14:35:00', '5200', '26.810', 'UP'
'14:34:57', '30983', '26.810', 'UP'
'14:34:54', '38717', '26.800', 'DOWN'
'14:34:51', '30500', '26.800', 'DOWN'
'14:34:48', '28800', '26.800', 'DOWN'
'14:34:45', '142083', '26.800', 'UP'
'14:34:42', '30300', '26.780', 'DOWN'
'14:34:39', '9400', '26.800', 'UP'
'14:34:36', '81200', '26.780', 'DOWN'
'14:34:33', '19000', '26.780', 'DOWN'
'14:34:30', '2900', '26.790', 'UP'
'14:34:27', '4500', '26.790', 'UP'
'14:34:24', '8600', '26.790', 'UP'
'14:34:21', '29700', '26.780', 'DOWN'
'14:34:18', '9300', '26.790', 'UP'
'14:34:12', '40000', '26.780', 'DOWN'
'14:34:09', '29500', '26.780', 'EQUAL'
'14:34:06', '23300', '26.790', 'UP'
'14:34:03', '1900', '26.790', 'UP'
'14:34:00', '121600', '26.750', 'DOWN'
'14:33:57', '15000', '26.770', 'UP'
'14:33:54', '400', '26.770', 'UP'
'14:33:51', '9600', '26.780', 'UP'
'14:33:48', '73400', '26.760', 'EQUAL'
'14:33:45', '8400', '26.750', 'DOWN'
'14:33:42', '6300', '26.770', 'UP'
'14:33:39', '6000', '26.770', 'UP'
'14:33:36', '6000', '26.770', 'UP'
'14:33:33', '14200', '26.770', 'UP'
'14:33:30', '1100', '26.760', 'DOWN'
'14:33:27', '7000', '26.770', 'UP'
'14:33:24', '24400', '26.770', 'UP'
'14:33:21', '900', '26.760', 'UP'
'14:33:18', '20800', '26.760', 'UP'
'14:33:15', '75800', '26.770', 'UP'
'14:33:12', '300', '26.760', 'UP'
'14:33:09', '100', '26.750', 'DOWN'
'14:33:06', '1100', '26.750', 'DOWN'
'14:33:03', '5600', '26.760', 'UP'
'14:33:00', '8400', '26.760', 'UP'
'14:32:57', '8300', '26.760', 'UP'
'14:32:54', '2300', '26.760', 'DOWN'
'14:32:51', '10900', '26.760', 'DOWN'
'14:32:48', '12900', '26.770', 'UP'
'14:32:45', '77000', '26.750', 'DOWN'
'14:32:42', '4900', '26.760', 'UP'
'14:32:39', '25300', '26.760', 'UP'
'14:32:36', '1100', '26.750', 'DOWN'
'14:32:33', '88100', '26.750', 'UP'
'14:32:30', '122100', '26.760', 'UP'
'14:32:27', '5000', '26.740', 'DOWN'
'14:32:24', '2400', '26.750', 'UP'
'14:32:21', '5600', '26.750', 'UP'
'14:32:18', '23700', '26.750', 'UP'
'14:32:12', '200', '26.740', 'DOWN'
'14:32:09', '13200', '26.750', 'UP'
'14:32:06', '23800', '26.740', 'DOWN'
'14:32:03', '100', '26.740', 'DOWN'
'14:32:00', '8200', '26.750', 'UP'
'14:31:57', '100', '26.740', 'DOWN'
'14:31:54', '11500', '26.750', 'UP'
'14:31:48', '1200', '26.740', 'DOWN'
'14:31:45', '2600', '26.750', 'UP'
'14:31:42', '6700', '26.750', 'UP'
'14:31:39', '6700', '26.740', 'DOWN'
'14:31:36', '3700', '26.740', 'DOWN'
'14:31:33', '1400', '26.750', 'UP'
'14:31:21', '4800', '26.740', 'DOWN'
'14:31:15', '1800', '26.750', 'UP'
'14:31:09', '1400', '26.750', 'UP'
'14:31:06', '100', '26.740', 'DOWN'
'14:31:03', '1800', '26.740', 'DOWN'
'14:31:00', '2200', '26.750', 'UP'
'14:30:57', '1700', '26.750', 'UP'
'14:30:54', '5900', '26.750', 'UP'
'14:30:51', '22400', '26.750', 'UP'
'14:30:48', '45000', '26.750', 'UP'
'14:30:42', '400', '26.750', 'UP'
'14:30:39', '400', '26.750', 'UP'
'14:30:36', '900', '26.750', 'UP'
'14:30:33', '3500', '26.740', 'DOWN'
'14:30:30', '100', '26.750', 'UP'
'14:30:27', '200', '26.740', 'DOWN'
'14:30:24', '6100', '26.740', 'DOWN'
'14:30:21', '5400', '26.740', 'DOWN'
'14:30:12', '2100', '26.750', 'UP'
'14:30:09', '5800', '26.750', 'UP'
'14:30:06', '13900', '26.750', 'UP'
'14:30:03', '10800', '26.740', 'DOWN'
'14:30:00', '4500', '26.740', 'DOWN'
'14:29:54', '1300', '26.740', 'DOWN'
'14:29:51', '4700', '26.740', 'DOWN'
'14:29:48', '900', '26.740', 'DOWN'
'14:29:45', '400', '26.750', 'UP'
'14:29:42', '2100', '26.740', 'DOWN'
'14:29:39', '3200', '26.750', 'UP'
'14:29:36', '22000', '26.750', 'UP'
'14:29:33', '22900', '26.740', 'UP'
'14:29:30', '7400', '26.740', 'UP'
'14:29:27', '7900', '26.740', 'UP'
'14:29:24', '17300', '26.740', 'DOWN'
'14:29:21', '36300', '26.740', 'DOWN'
'14:29:18', '8400', '26.750', 'UP'
'14:29:15', '400', '26.740', 'DOWN'
'14:29:09', '10500', '26.740', 'DOWN'
'14:29:03', '3200', '26.740', 'DOWN'
'14:29:00', '3500', '26.750', 'UP'
'14:28:57', '1700', '26.750', 'UP'
'14:28:54', '6200', '26.740', 'DOWN'
'14:28:51', '1400', '26.750', 'UP'
'14:28:48', '300', '26.740', 'DOWN'
'14:28:45', '1100', '26.750', 'UP'
'14:28:42', '1900', '26.750', 'UP'
'14:28:36', '4000', '26.740', 'DOWN'
'14:28:33', '2300', '26.740', 'DOWN'
'14:28:27', '1000', '26.750', 'UP'
'14:28:24', '1000', '26.740', 'DOWN'
'14:28:18', '6500', '26.740', 'DOWN'
'14:28:15', '12300', '26.750', 'UP'
'14:28:12', '900', '26.750', 'UP'
'14:28:09', '9000', '26.740', 'DOWN'
'14:28:06', '6200', '26.740', 'UP'
'14:28:03', '5000', '26.730', 'DOWN'
'14:28:00', '17000', '26.740', 'UP'
'14:27:57', '2300', '26.740', 'UP'
'14:27:54', '1300', '26.730', 'DOWN'
'14:27:51', '12100', '26.740', 'UP'
'14:27:48', '1700', '26.740', 'UP'
'14:27:45', '3100', '26.730', 'DOWN'
'14:27:42', '500', '26.740', 'UP'
'14:27:39', '2500', '26.740', 'UP'
'14:27:36', '400', '26.740', 'UP'
'14:27:33', '2300', '26.730', 'DOWN'
'14:27:30', '13400', '26.740', 'UP'
'14:27:27', '9600', '26.730', 'DOWN'
'14:27:24', '700', '26.730', 'DOWN'
'14:27:21', '600', '26.740', 'UP'
'14:27:18', '300', '26.740', 'UP'
'14:27:15', '500', '26.730', 'DOWN'
'14:27:12', '12700', '26.730', 'DOWN'
'14:27:09', '100', '26.740', 'UP'
'14:27:06', '500', '26.740', 'UP'
'14:27:03', '1900', '26.740', 'UP'
'14:26:57', '4000', '26.730', 'DOWN'
'14:26:54', '800', '26.740', 'UP'
'14:26:51', '400', '26.740', 'UP'
'14:26:48', '4400', '26.740', 'UP'
'14:26:45', '400', '26.740', 'UP'
'14:26:42', '5700', '26.740', 'UP'
'14:26:39', '2500', '26.740', 'UP'
'14:26:36', '7900', '26.740', 'UP'
'14:26:33', '14300', '26.740', 'UP'
'14:26:30', '3300', '26.740', 'UP'
'14:26:27', '14100', '26.740', 'UP'
'14:26:24', '2300', '26.730', 'DOWN'
'14:26:21', '1400', '26.740', 'UP'
'14:26:18', '400', '26.740', 'UP'
'14:26:15', '5600', '26.740', 'UP'
'14:26:12', '13300', '26.740', 'UP'
'14:26:09', '500', '26.740', 'UP'
'14:26:06', '11500', '26.730', 'DOWN'
'14:26:03', '17500', '26.730', 'DOWN'
'14:26:00', '700', '26.740', 'UP'
'14:25:57', '20300', '26.740', 'UP'
'14:25:54', '4200', '26.730', 'DOWN'
'14:25:51', '2700', '26.740', 'UP'
'14:25:48', '1000', '26.740', 'UP'
'14:25:45', '16600', '26.740', 'UP'
'14:25:42', '3600', '26.740', 'UP'
'14:25:39', '4600', '26.730', 'DOWN'
'14:25:36', '1200', '26.740', 'UP'
'14:25:33', '2000', '26.730', 'DOWN'
'14:25:30', '3700', '26.740', 'UP'
'14:25:27', '500', '26.740', 'UP'
'14:25:24', '300', '26.730', 'DOWN'
'14:25:21', '4200', '26.740', 'UP'
'14:25:18', '200', '26.730', 'DOWN'
'14:25:15', '1200', '26.740', 'UP'
'14:25:12', '1600', '26.730', 'DOWN'
'14:25:06', '31500', '26.740', 'UP'
'14:25:03', '129287', '26.730', 'UP'
'14:25:00', '8100', '26.720', 'EQUAL'
'14:24:57', '3800', '26.730', 'UP'
