上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
127	600487	亨通光电	16.58	股吧 行情 档案 资讯	信息技术	苏州市	0.17	0.62	6.88	9.18	19.04	18.60	308.44
128	600482	中国动力	19.28	股吧 行情 档案 资讯	交运设备	保定市	0.10	0.42	15.44	2.71	16.95	8.70	167.70
129	600438	通威股份	13.54	股吧 行情 档案 资讯	农林牧渔	成都市	0.20	0.58	4.21	14.04	38.83	38.83	525.70
130	600436	片仔癀	128.79	股吧 行情 档案 资讯	医药生物	漳州市	0.28	1.84	10.41	19.64	6.03	6.03	777.01
131	600406	国电南瑞	18.17	股吧 行情 档案 资讯	电气设备	南京市	0.31	0.47	6.17	7.65	46.22	29.35	533.27
132	600398	海澜之家	7.44	股吧 行情 档案 资讯	纺织服装	无锡市	0.07	0.59	2.86	20.01	44.20	44.20	328.85
133	600390	五矿资本	7.92	股吧 行情 档案 资讯	有色金属	长沙市	0.03	0.59	7.65	7.94	44.98	44.98	356.25
134	600383	金地集团	13.17	股吧 行情 档案 资讯	房地产	深圳市	0.22	1.20	10.86	11.35	45.15	45.15	594.57
135	600372	中航电子	14.35	股吧 行情 档案 资讯	交运设备	北京市	0.06	0.15	4.15	3.48	17.60	17.60	252.49
136	600369	西南证券	5.07	股吧 行情 档案 资讯	金融	重庆市	0.11	0.12	3.40	3.56	56.45	56.45	286.21
137	600362	江西铜业	15.13	股吧 行情 档案 资讯	有色金属	鹰潭市	0.12	0.60	14.82	4.09	34.63	34.63	313.98
138	600352	浙江龙盛	13.37	股吧 行情 档案 资讯	基础化工	绍兴市	0.26	1.22	7.26	17.81	32.53	32.53	434.97
139	600346	恒力石化	17.07	股吧 行情 档案 资讯	基础化工	大连市	0.27	0.98	4.59	22.77	70.39	46.32	790.67
140	600340	华夏幸福	26.40	股吧 行情 档案 资讯	房地产	廊坊市	0.24	3.18	13.21	21.32	30.13	29.79	786.51
141	600332	白云山	37.68	股吧 行情 档案 资讯	医药生物	广州市	0.15	1.94	14.86	13.78	16.26	16.26	529.74
