symbol,name,mktcap,nmc,turnoverratio
SH603214,爱婴室,463511.1544,250709.2149,1.84308
SH603217,元利科技,358661.184,89665.296,2.23029
SH603218,日月股份,1282306.33832,1266022.5032,0.62443
SH603220,中贝通信,608643.52,334532.6504,2.2184
SH603221,爱丽家居,359760,89940,6.82813
SH603222,济民制药,1144320,1144320,2.111
SH603223,恒通股份,323729.28,323729.28,1.58709
SH603225,新凤鸣,1437358.752531,1211826.130567,0.20486
SH603226,菲林格尔,233067.97728,230102.862912,0.9705
SH603227,雪峰科技,250306,250306,0.44441
SH603228,景旺电子,2929915.85744,2884839.91376,1.05176
SH603229,奥翔药业,1035200,1035200,2.55594
SH603232,格尔软件,499898.22568,499898.22568,3.42314
SH603233,大参林,5081389.343268,1025047.69038,2.7823
SH603236,移远通信,2001841.296,500572.56,9.84769
SH603238,诺邦股份,509760,509760,1.59519
SH603239,浙江仙通,379008,379008,1.84752
SH603256,宏和科技,1008592.2,100882.2,3.49229
SH603258,电魂网络,1171580.438,1151520,3.13881
SH603259,药明康德,20614644.961274,12602379.256012,1.72213
SH603260,合盛硅业,2464126,959323.990429,1.22644
SH603266,天龙股份,232320.33828,229623.613674,2.04832
SH603267,鸿远电子,903450.828,614770.725468,2.15739
SH603268,松发股份,189605.7576,189605.7576,0.85875
SH603269,海鸥股份,122935.68,122935.68,1.63049
SH603277,银都股份,486325.23,190911.606,12.08905
SH603278,大业股份,225857.646526,93385.954446,1.48046
SH603279,景津环保,839273.43,84969,4.38028
SH603283,赛腾股份,831146.76824,197088.202,12.02178
SH603286,日盈电子,142066.588,73796.363,2.25722
SH603288,海天味业,38687651.460312,38687651.460312,0.22237
SH603289,泰瑞机器,261997.6,133841.475924,12.03394
SH603290,斯达半导,2825600,706400,11.86539
SH603297,永新光学,442180,204324.692,2.78919
SH603298,杭叉集团,835205.601328,835205.601328,0.70297
SH603299,苏盐井神,476298.744356,343496.16,0.75908
SH603300,华铁应急,406009.577268,392718.472539,0.55781
SH603301,振德医疗,895720,348726.189,10.62138
SH603303,得邦照明,523318.587718,523318.587718,0.60742
SH603305,旭升股份,1812741.04451,313720.31406,8.82888
SH603306,华懋科技,436357.46193,431362.68693,0.33526
SH603308,应流股份,883699.337746,785529.111551,1.15785
SH603309,维力医疗,338260,338260,2.27412
SH603311,金海环境,249060,249060,0.76362
SH603313,梦百合,824317.086352,819935.839472,1.41567
SH603315,福鞍股份,390537.407808,279777.546072,1.47498
SH603316,诚邦股份,168722.4,168722.4,1.33074
SH603317,天味食品,3178091.54875,664264.24875,2.18625
SH603318,派思股份,291969.813102,291969.813102,2.02367
SH603319,湘油泵,234664.76735,234664.76735,1.87726
SH603320,迪贝电气,165367.700688,165367.700688,1.58646
SH603321,梅轮电梯,221961,83940.3,1.87097
SH603322,超讯通信,294570.64,294570.64,2.28652
SH603323,苏农银行,789742.962312,596637.434712,0.98111
SH603326,我乐家居,422711.73,418656,0.73224
